gpu_Idx,pwr_W,gtemp_C,mtemp_C,sm_%,mem_%,enc_%,dec_%,jpg_%,ofa_%,mclk_MHz,pclk_MHz,pviol_%,tviol_bool,fb_MB,bar1_MB,ccpm_MB,rxpci_MB/s,txpci_MB/s
0,148,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,249,20
1,149,31,35,13,2,0,0,0,0,2619,1980,0,0,21369,4,0,120,22
0,149,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,370,24
1,150,31,37,12,2,0,0,0,0,2619,1980,0,0,21369,4,0,148,2
0,149,29,33,24,3,0,0,0,0,2619,1980,0,0,25879,4,0,19,161
1,150,31,35,24,4,0,0,0,0,2619,1980,0,0,21369,4,0,5,0
0,150,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,35,123
1,151,31,36,14,2,0,0,0,0,2619,1980,0,0,21369,4,0,149,1
0,148,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,19,169
1,149,31,36,13,2,0,0,0,0,2619,1980,0,0,21369,4,0,3,0
0,147,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,20,140
1,149,31,35,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,81,0
0,150,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,567,0
1,150,31,35,25,4,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,151,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,466,12
1,152,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,1,0
0,150,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,170,105
1,151,31,36,17,3,0,0,0,0,2619,1980,0,0,21369,4,0,148,26
0,151,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,520,6
1,152,31,35,14,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,153,29,33,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,304,25
1,154,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,133,0
0,152,29,33,24,3,0,0,0,0,2619,1980,0,0,25879,4,0,305,25
1,154,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,147,10
0,150,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,369,26
1,155,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,128,0
0,150,29,33,24,3,0,0,0,0,2619,1980,0,0,25879,4,0,536,0
1,152,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,1
0,152,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,283,24
1,152,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,147,25
0,153,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,539,0
1,153,31,35,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,11
0,152,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,56,118
1,153,31,37,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,152,13
0,153,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,135,105
1,153,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,151,13
0,153,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,293,25
1,154,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,146,4
0,153,29,34,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,542,0
1,155,31,35,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,6
0,152,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,557,0
1,155,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,25
0,154,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,17,143
1,154,31,36,17,2,0,0,0,0,2619,1980,0,0,21369,4,0,44,0
0,151,29,33,14,2,0,0,0,0,2619,1980,0,0,25879,4,0,17,154
1,152,31,35,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,151,29,33,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,174,115
1,152,31,35,24,4,0,0,0,0,2619,1980,0,0,21369,4,0,144,25
0,152,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,382,25
1,152,31,35,17,3,0,0,0,0,2619,1980,0,0,21369,4,0,81,0
0,152,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,292,25
1,153,31,35,21,3,0,0,0,0,2619,1980,0,0,21369,4,0,144,3
0,152,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,381,6
1,153,31,36,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,130,25
0,152,29,34,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,248,26
1,154,31,36,17,2,0,0,0,0,2619,1980,0,0,21369,4,0,146,6
0,151,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,527,0
1,152,31,36,23,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,8
0,152,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,451,0
1,152,31,35,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,38,24
0,150,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,449,1
1,153,31,35,24,4,0,0,0,0,2619,1980,0,0,21369,4,0,102,25
0,151,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,499,0
1,153,31,35,14,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,23
0,152,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,17,160
1,156,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,151,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,20,150
1,152,31,35,24,4,0,0,0,0,2619,1980,0,0,21369,4,0,40,0
0,151,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,172,107
1,155,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,148,23
0,151,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,170,137
1,153,31,35,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,19,25
0,152,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,446,19
1,155,31,37,14,2,0,0,0,0,2619,1980,0,0,21369,4,0,46,0
0,151,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,17,118
1,153,31,35,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,152,8
0,150,29,34,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,172,105
1,155,31,36,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,149,25
0,152,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,82,105
1,152,31,35,18,2,0,0,0,0,2619,1980,0,0,21369,4,0,146,19
0,154,29,33,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,174,103
1,154,31,36,17,3,0,0,0,0,2619,1980,0,0,21369,4,0,148,25
0,153,29,33,14,2,0,0,0,0,2619,1980,0,0,25879,4,0,18,157
1,153,31,36,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,153,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,77,143
1,153,31,35,16,3,0,0,0,0,2619,1980,0,0,21369,4,0,7,25
0,154,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,18,123
1,154,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,35,0
0,152,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,357,25
1,152,31,35,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,120,0
0,153,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,331,10
1,155,31,35,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,149,25
0,151,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,571,0
1,153,31,36,24,4,0,0,0,0,2619,1980,0,0,21369,4,0,0,1
