gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,fb,bar1,ccpm,rxpci,txpci
0,150,29,33,12,2,0,0,0,0,2619,1980,0,0,25883,4,0,157,97
1,149,31,37,24,4,0,0,0,0,2619,1980,0,0,21371,4,0,61,24
0,149,29,33,29,4,0,0,0,0,2619,1980,0,0,25883,4,0,545,19
1,147,31,35,29,4,0,0,0,0,2619,1980,0,0,21371,4,0,152,3
0,149,29,33,26,3,0,0,0,0,2619,1980,0,0,25883,4,0,310,2
1,148,30,35,26,4,0,0,0,0,2619,1980,0,0,21371,4,0,75,26
0,149,29,34,9,1,0,0,0,0,2619,1980,0,0,25883,4,0,540,18
1,148,30,36,27,4,0,0,0,0,2619,1980,0,0,21371,4,0,117,0
0,150,29,33,27,4,0,0,0,0,2619,1980,0,0,25883,4,0,293,4
1,149,30,35,27,4,0,0,0,0,2619,1980,0,0,21371,4,0,46,25
0,148,29,33,14,2,0,0,0,0,2619,1980,0,0,25883,4,0,643,0
1,149,30,35,28,4,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,150,29,33,10,1,0,0,0,0,2619,1980,0,0,25883,4,0,400,0
1,148,30,36,22,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,15
0,149,29,33,29,4,0,0,0,0,2619,1980,0,0,25883,4,0,5,138
1,148,30,35,9,2,0,0,0,0,2619,1980,0,0,21371,4,0,158,16
0,148,29,33,10,1,0,0,0,0,2619,1980,0,0,25883,4,0,16,122
1,147,31,35,14,2,0,0,0,0,2619,1980,0,0,21371,4,0,154,25
0,150,29,33,11,1,0,0,0,0,2619,1980,0,0,25883,4,0,17,131
1,151,31,36,21,3,0,0,0,0,2619,1980,0,0,21371,4,0,150,6
0,149,29,33,29,4,0,0,0,0,2619,1980,0,0,25883,4,0,410,0
1,147,31,36,11,2,0,0,0,0,2619,1980,0,0,21371,4,0,0,21
0,151,29,34,12,2,0,0,0,0,2619,1980,0,0,25883,4,0,545,0
1,149,31,35,22,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,149,29,33,29,4,0,0,0,0,2619,1980,0,0,25883,4,0,471,22
1,149,31,35,27,4,0,0,0,0,2619,1980,0,0,21371,4,0,100,0
0,149,29,33,25,3,0,0,0,0,2619,1980,0,0,25883,4,0,18,110
1,149,31,35,10,2,0,0,0,0,2619,1980,0,0,21371,4,0,158,25
0,148,29,33,23,3,0,0,0,0,2619,1980,0,0,25883,4,0,660,0
1,149,30,36,18,2,0,0,0,0,2619,1980,0,0,21371,4,0,13,0
0,150,29,33,25,3,0,0,0,0,2619,1980,0,0,25883,4,0,18,175
1,150,30,35,26,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,0
0,151,29,33,26,3,0,0,0,0,2619,1980,0,0,25883,4,0,104,94
1,151,31,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,158,25
0,151,29,33,11,1,0,0,0,0,2619,1980,0,0,25883,4,0,13,162
1,152,30,35,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,35,0
0,152,29,33,13,2,0,0,0,0,2619,1980,0,0,25883,4,0,42,164
1,151,31,35,16,2,0,0,0,0,2619,1980,0,0,21371,4,0,3,0
0,152,29,33,12,2,0,0,0,0,2619,1980,0,0,25883,4,0,530,0
1,151,31,36,15,2,0,0,0,0,2619,1980,0,0,21371,4,0,0,3
0,152,29,33,24,3,0,0,0,0,2619,1980,0,0,25883,4,0,593,0
1,151,31,35,18,2,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,151,29,33,23,3,0,0,0,0,2619,1980,0,0,25883,4,0,546,13
1,152,31,36,11,2,0,0,0,0,2619,1980,0,0,21371,4,0,47,0
0,151,29,33,27,3,0,0,0,0,2619,1980,0,0,25883,4,0,483,0
1,151,30,36,20,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,18
0,151,29,33,26,3,0,0,0,0,2619,1980,0,0,25883,4,0,217,26
1,150,30,35,14,2,0,0,0,0,2619,1980,0,0,21371,4,0,156,25
0,152,29,33,28,4,0,0,0,0,2619,1980,0,0,25883,4,0,389,0
1,150,31,35,29,4,0,0,0,0,2619,1980,0,0,21371,4,0,0,25
